sample_id,text,expected_writer_type,predicted_writer_type,expected_constructive,expected_toxic,expected_score_range,predicted_final_score,constructiveness_signal,reasoning_marker_score,suggestion_score,explanation_depth_score,toxicity_score,toxicity_penalty,writer_confidence,paragraph_count,word_count,deviation_from_expected_midpoint
11,"Our fielders need a clearer call system at the rope so pressure moments do not become chaos. With calmer decisions and better role discipline, this group can recover quickly. Supporters should demand smarter execution while still backing every player to improve. The batting unit can improve by protecting one anchor while hitters attack in pairs. I am emotional after that finish, but my criticism comes from loyalty, not anger. With calmer decisions and better role discipline, this group can recover quickly.",Passionate Fan,Analyst,True,False,75-90,82.0,0.65,0.25,0.6667,0.3,0.0002,-0.0,0.3367,1,81,0.5
12,"That adjustment alone could turn close defeats into stable wins across a long series. The batting unit can improve by protecting one anchor while hitters attack in pairs. The batting unit can improve by protecting one anchor while hitters attack in pairs. With calmer decisions and better role discipline, this group can recover quickly. As a long-time supporter, this loss stings, yet my faith in the squad is still firm.",Passionate Fan,Analyst,True,False,75-90,82.0,0.65,0.25,0.6667,0.3,0.0002,-0.0,0.3207,1,70,0.5
13,"With calmer decisions and better role discipline, this group can recover quickly. The captain should trust matchup bowling sooner, especially when the set batter targets one side. If we rotate strike earlier after a wicket, the chase does not freeze in the middle overs. That adjustment alone could turn close defeats into stable wins across a long series. I am emotional after that finish, but my criticism comes from loyalty, not anger.",Passionate Fan,Storyteller,True,False,75-90,77.0,0.65,0.25,0.6667,0.3,0.0002,-0.0,0.2904,1,72,5.5
14,"The captain should trust matchup bowling sooner, especially when the set batter targets one side. Supporters should demand smarter execution while still backing every player to improve. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. I am asking for practical changes, not panic changes, because the core quality is already present. As a long-time supporter, this loss stings, yet my faith in the squad is still firm.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.25,0.3333,0.3,0.0002,-0.0,0.365,1,76,7.5
15,"As a long-time supporter, this loss stings, yet my faith in the squad is still firm. The batting unit can improve by protecting one anchor while hitters attack in pairs. I am asking for practical changes, not panic changes, because the core quality is already present. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. I am asking for practical changes, not panic changes, because the core quality is already present.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.5,0.3333,0.3,0.0002,-0.0,0.4394,1,79,7.5
16,"The batting unit can improve by protecting one anchor while hitters attack in pairs. This result hurt, though I still back the team because the effort was visible. I am asking for practical changes, not panic changes, because the core quality is already present. The batting unit can improve by protecting one anchor while hitters attack in pairs. I am asking for practical changes, not panic changes, because the core quality is already present.",Passionate Fan,Analyst,True,False,75-90,82.25,0.65,0.5,0.3333,0.3,0.0002,-0.0,0.3834,1,74,0.25
17,"If we rotate strike earlier after a wicket, the chase does not freeze in the middle overs. Supporters should demand smarter execution while still backing every player to improve. Supporters should demand smarter execution while still backing every player to improve. This result hurt, though I still back the team because the effort was visible. The captain should trust matchup bowling sooner, especially when the set batter targets one side.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.5,0.3333,0.3,0.0002,-0.0,0.2812,1,70,7.5
18,"I am asking for practical changes, not panic changes, because the core quality is already present. If we rotate strike earlier after a wicket, the chase does not freeze in the middle overs. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. With calmer decisions and better role discipline, this group can recover quickly. As a long-time supporter, this loss stings, yet my faith in the squad is still firm.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.5,0.0,0.3,0.0001,-0.0,0.4092,1,78,7.5
19,"If we rotate strike earlier after a wicket, the chase does not freeze in the middle overs. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. With calmer decisions and better role discipline, this group can recover quickly. With calmer decisions and better role discipline, this group can recover quickly. As a long-time supporter, this loss stings, yet my faith in the squad is still firm.",Passionate Fan,Analyst,True,False,75-90,82.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.398,1,74,0.5
20,"With calmer decisions and better role discipline, this group can recover quickly. The batting unit can improve by protecting one anchor while hitters attack in pairs. That adjustment alone could turn close defeats into stable wins across a long series. The batting unit can improve by protecting one anchor while hitters attack in pairs. I am emotional after that finish, but my criticism comes from loyalty, not anger. Our fielders need a clearer call system at the rope so pressure moments do not become chaos.",Passionate Fan,Debater,True,False,75-90,82.0,0.65,0.25,0.6667,0.3,0.0002,-0.0,0.2472,1,85,0.5
21,"When two right-handers are set, the captain should shift square protection before pace-off variations begin. This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. This match exposed sequencing issues more than talent limitations. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.25,0.3333,1.0,0.0002,-0.0,0.5024,1,70,5.25
22,"If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. The evidence suggests role clarity and sequencing discipline are the highest-value corrections. The chase broke down because decision velocity dropped after the first pressure over. A better approach is to predefine risk windows by matchup and protect low-risk singles between them. A better approach is to predefine risk windows by matchup and protect low-risk singles between them.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.3333,0.3,0.0001,-0.0,0.7119,1,72,5.25
23,"This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. This match exposed sequencing issues more than talent limitations. A better approach is to predefine risk windows by matchup and protect low-risk singles between them.",Analyst,Analyst,True,False,80-95,73.0,0.218,0.0,0.3333,0.3,0.0002,-0.0,0.7844,1,71,14.5
24,The evidence suggests role clarity and sequencing discipline are the highest-value corrections. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. That structure would reduce volatility and improve conversion in one-score games. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. The chase broke down because decision velocity dropped after the first pressure over. A better approach is to predefine risk windows by matchup and protect low-risk singles between them.,Analyst,Analyst,True,False,80-95,82.0,0.65,0.25,0.6667,0.3,0.0002,-0.0,0.6652,1,84,5.5
25,"The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. This match exposed sequencing issues more than talent limitations. The evidence suggests role clarity and sequencing discipline are the highest-value corrections. That structure would reduce volatility and improve conversion in one-score games. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases. The chase broke down because decision velocity dropped after the first pressure over.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,1.0,1.0,0.0002,-0.0,0.5888,1,80,5.25
26,"The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. This match exposed sequencing issues more than talent limitations. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases. That structure would reduce volatility and improve conversion in one-score games. The evidence suggests role clarity and sequencing discipline are the highest-value corrections. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.25,1.0,1.0,0.0002,-0.0,0.6239,1,83,5.25
27,"The evidence suggests role clarity and sequencing discipline are the highest-value corrections. That structure would reduce volatility and improve conversion in one-score games. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases. A better approach is to predefine risk windows by matchup and protect low-risk singles between them. The chase broke down because decision velocity dropped after the first pressure over.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.6667,0.3,0.0001,-0.0,0.6716,1,71,5.25
28,"If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. A better approach is to predefine risk windows by matchup and protect low-risk singles between them. The chase broke down because decision velocity dropped after the first pressure over. The evidence suggests role clarity and sequencing discipline are the highest-value corrections.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.3333,0.3,0.0001,-0.0,0.6257,1,72,5.25
29,"A better approach is to predefine risk windows by matchup and protect low-risk singles between them. That structure would reduce volatility and improve conversion in one-score games. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. The chase broke down because decision velocity dropped after the first pressure over.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.25,0.6667,1.0,0.0002,-0.0,0.7286,1,71,5.25
30,"The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. The bowling control problem came from predictable release points in back-to-back overs. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases. This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.6667,1.0,0.0002,-0.0,0.534,1,77,5.25
31,"The evidence suggests role clarity and sequencing discipline are the highest-value corrections. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. The innings pattern shows a tactical gap between consolidation and acceleration phases. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.6667,0.3,0.0001,-0.0,0.5402,1,74,5.25
32,"This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. This match exposed sequencing issues more than talent limitations. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. The evidence suggests role clarity and sequencing discipline are the highest-value corrections.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.25,0.6667,1.0,0.0002,-0.0,0.7046,1,71,5.25
33,"That structure would reduce volatility and improve conversion in one-score games. This match exposed sequencing issues more than talent limitations. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,1.0,0.3,0.0002,-0.0,0.539,1,73,5.25
34,"The chase broke down because decision velocity dropped after the first pressure over. A better approach is to predefine risk windows by matchup and protect low-risk singles between them. The evidence suggests role clarity and sequencing discipline are the highest-value corrections. A better approach is to predefine risk windows by matchup and protect low-risk singles between them. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.3333,0.3,0.0002,-0.0,0.74,1,72,5.25
35,"That structure would reduce volatility and improve conversion in one-score games. The chase broke down because decision velocity dropped after the first pressure over. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.6667,0.3,0.0002,-0.0,0.5287,1,71,5.25
36,"The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. That structure would reduce volatility and improve conversion in one-score games. This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. The bowling control problem came from predictable release points in back-to-back overs. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball.",Analyst,Analyst,True,False,80-95,73.0,0.58,0.0,0.6667,0.3,0.0002,-0.0,0.5963,1,70,14.5
37,"The chase broke down because decision velocity dropped after the first pressure over. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. A better approach is to predefine risk windows by matchup and protect low-risk singles between them. The evidence suggests role clarity and sequencing discipline are the highest-value corrections. The evidence suggests role clarity and sequencing discipline are the highest-value corrections. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.6667,0.3,0.0002,-0.0,0.6663,1,88,5.25
38,"A better approach is to predefine risk windows by matchup and protect low-risk singles between them. That structure would reduce volatility and improve conversion in one-score games. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. The chase broke down because decision velocity dropped after the first pressure over. When two right-handers are set, the captain should shift square protection before pace-off variations begin.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.6667,0.3,0.0002,-0.0,0.5412,1,70,5.25
39,"The innings pattern shows a tactical gap between consolidation and acceleration phases. The middle order should carry role-based triggers so tempo choices are not improvised ball by ball. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. This is a process correction problem, so incremental tactical fixes are preferable to wholesale changes. A better approach is to predefine risk windows by matchup and protect low-risk singles between them.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.25,0.3333,1.0,0.0001,-0.0,0.608,1,74,5.25
40,"Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. If these adjustments are implemented, expected outcomes should stabilize over the next block of fixtures. This match exposed sequencing issues more than talent limitations. Selection can improve by pairing one control bowler with one strike bowler in the same phase, not separate phases.",Analyst,Analyst,True,False,80-95,82.25,0.65,0.5,0.6667,0.3,0.0002,-0.0,0.48,1,77,5.25
41,"I remember the silence after the dropped chance, then the roar when the next boundary was saved. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. That night ended in disappointment, but it also revealed why this group remains easy to trust.",Storyteller,Storyteller,True,False,75-90,77.6,0.65,0.25,0.0,1.0,0.0002,-0.0,0.7074,1,80,4.9
42,"The captain kept speaking between deliveries, and that steady voice prevented visible panic. The evening felt dramatic from the first ball, with momentum changing every few minutes. That night ended in disappointment, but it also revealed why this group remains easy to trust. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. By the final whistle, the result was harsh, but the performance had genuine heart and direction.",Storyteller,Storyteller,True,False,75-90,74.0,0.65,0.25,0.0,0.3,0.0001,-0.0,0.2569,1,75,8.5
43,"The captain kept speaking between deliveries, and that steady voice prevented visible panic. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. By the final whistle, the result was harsh, but the performance had genuine heart and direction. That night ended in disappointment, but it also revealed why this group remains easy to trust. The game kept twisting, and every over seemed to carry a different emotion across the stands.",Storyteller,Storyteller,True,False,75-90,74.0,0.65,0.25,0.0,1.0,0.0002,-0.0,0.2971,1,78,8.5
44,"By the final whistle, the result was harsh, but the performance had genuine heart and direction. That night ended in disappointment, but it also revealed why this group remains easy to trust. I remember the silence after the dropped chance, then the roar when the next boundary was saved. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range.",Storyteller,Storyteller,True,False,75-90,77.6,0.65,0.25,0.0,1.0,0.0001,-0.0,0.5592,1,82,4.9
45,"That night ended in disappointment, but it also revealed why this group remains easy to trust. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. That night ended in disappointment, but it also revealed why this group remains easy to trust. When the lights came on for the final session, the stadium sounded like one loud heartbeat. The captain kept speaking between deliveries, and that steady voice prevented visible panic.",Storyteller,Storyteller,True,False,75-90,74.0,0.1514,0.0,0.0,0.3,0.0002,-0.0,0.5159,1,78,8.5
46,"The senior bowler missed his first mark, reset his field, and returned with better control under pressure. We still lost, yet the story was about resilience and adjustment rather than surrender. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. The game kept twisting, and every over seemed to carry a different emotion across the stands.",Storyteller,Storyteller,True,False,75-90,77.6,0.65,0.5,0.0,0.3,0.0002,-0.0,0.3831,1,78,4.9
47,"I remember the silence after the dropped chance, then the roar when the next boundary was saved. That night ended in disappointment, but it also revealed why this group remains easy to trust. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. The scoreboard hurt, though the character shown in hard moments gave supporters real hope.",Storyteller,Storyteller,True,False,75-90,68.0,0.65,0.25,0.0,0.3,0.0001,-0.0,0.7046,1,79,14.5
48,"Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. The senior bowler missed his first mark, reset his field, and returned with better control under pressure. That night ended in disappointment, but it also revealed why this group remains easy to trust. When the lights came on for the final session, the stadium sounded like one loud heartbeat. That night ended in disappointment, but it also revealed why this group remains easy to trust.",Storyteller,Storyteller,True,False,75-90,74.0,0.1862,0.0,0.0,0.3,0.0002,-0.0,0.4323,1,82,8.5
49,"By the final whistle, the result was harsh, but the performance had genuine heart and direction. The senior bowler missed his first mark, reset his field, and returned with better control under pressure. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. That night ended in disappointment, but it also revealed why this group remains easy to trust. When the lights came on for the final session, the stadium sounded like one loud heartbeat.",Storyteller,Storyteller,True,False,75-90,68.0,0.65,0.25,0.0,0.3,0.0001,-0.0,0.3743,1,81,14.5
50,"That night ended in disappointment, but it also revealed why this group remains easy to trust. The senior bowler missed his first mark, reset his field, and returned with better control under pressure. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. The game kept twisting, and every over seemed to carry a different emotion across the stands. We still lost, yet the story was about resilience and adjustment rather than surrender.",Storyteller,Storyteller,True,False,75-90,68.0,0.65,0.75,0.0,0.3,0.0002,-0.0,0.3229,1,79,14.5
51,"The scoreboard hurt, though the character shown in hard moments gave supporters real hope. I remember the silence after the dropped chance, then the roar when the next boundary was saved. The captain kept speaking between deliveries, and that steady voice prevented visible panic. The captain kept speaking between deliveries, and that steady voice prevented visible panic. The scoreboard hurt, though the character shown in hard moments gave supporters real hope.",Storyteller,Storyteller,True,False,75-90,68.0,0.65,0.25,0.0,0.3,0.0003,-0.0,0.7501,1,71,14.5
52,"We still lost, yet the story was about resilience and adjustment rather than surrender. The evening felt dramatic from the first ball, with momentum changing every few minutes. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement.",Storyteller,Storyteller,True,False,75-90,74.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.4669,1,76,8.5
53,"That night ended in disappointment, but it also revealed why this group remains easy to trust. The evening felt dramatic from the first ball, with momentum changing every few minutes. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. We still lost, yet the story was about resilience and adjustment rather than surrender. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement.",Storyteller,Storyteller,True,False,75-90,77.6,0.65,0.5,0.0,1.0,0.0001,-0.0,0.3864,1,77,4.9
54,"The evening felt dramatic from the first ball, with momentum changing every few minutes. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. We still lost, yet the story was about resilience and adjustment rather than surrender.",Storyteller,Storyteller,True,False,75-90,74.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.431,1,76,8.5
55,"That night ended in disappointment, but it also revealed why this group remains easy to trust. The captain kept speaking between deliveries, and that steady voice prevented visible panic. I remember the silence after the dropped chance, then the roar when the next boundary was saved. By the final whistle, the result was harsh, but the performance had genuine heart and direction. The senior bowler missed his first mark, reset his field, and returned with better control under pressure.",Storyteller,Storyteller,True,False,75-90,74.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.5074,1,79,8.5
56,"I remember the silence after the dropped chance, then the roar when the next boundary was saved. By the final whistle, the result was harsh, but the performance had genuine heart and direction. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. The captain kept speaking between deliveries, and that steady voice prevented visible panic. The captain kept speaking between deliveries, and that steady voice prevented visible panic.",Storyteller,Storyteller,True,False,75-90,68.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.6268,1,73,14.5
57,"The evening felt dramatic from the first ball, with momentum changing every few minutes. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. That night ended in disappointment, but it also revealed why this group remains easy to trust. Even after a collapse, teammates met each incoming player at the rope with calm and clear encouragement.",Storyteller,Storyteller,True,False,75-90,74.0,0.1939,0.0,0.0,0.3,0.0002,-0.0,0.4738,1,78,8.5
58,"We still lost, yet the story was about resilience and adjustment rather than surrender. That night ended in disappointment, but it also revealed why this group remains easy to trust. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. The evening felt dramatic from the first ball, with momentum changing every few minutes. The captain kept speaking between deliveries, and that steady voice prevented visible panic.",Storyteller,Storyteller,True,False,75-90,74.0,0.65,0.5,0.0,0.3,0.0002,-0.0,0.3528,1,73,8.5
59,"By the final whistle, the result was harsh, but the performance had genuine heart and direction. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. The senior bowler missed his first mark, reset his field, and returned with better control under pressure. The evening felt dramatic from the first ball, with momentum changing every few minutes.",Storyteller,Storyteller,True,False,75-90,77.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.2876,1,77,5.5
60,"A young batter looked uncertain early, then settled by choosing patient singles before expanding his range. The scoreboard hurt, though the character shown in hard moments gave supporters real hope. That night ended in disappointment, but it also revealed why this group remains easy to trust. The captain kept speaking between deliveries, and that steady voice prevented visible panic. When the lights came on for the final session, the stadium sounded like one loud heartbeat.",Storyteller,Storyteller,True,False,75-90,68.0,0.65,0.25,0.0,0.3,0.0001,-0.0,0.5028,1,75,14.5
61,"This framing allows rigorous criticism without slipping into unfair blame language. Some fans want immediate selection changes, but others warn that panic selection can break role balance. This framing allows rigorous criticism without slipping into unfair blame language. Criticism should focus on decision quality and alternatives, not on personal character judgments. Criticism should focus on decision quality and alternatives, not on personal character judgments. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup.",Debater,Debater,True,False,80-95,73.0,0.2622,0.0,0.3333,0.3,0.0002,-0.0,0.2919,1,79,14.5
62,"That synthesis respects legitimate concerns while keeping the solution actionable. Some fans want immediate selection changes, but others warn that panic selection can break role balance. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. Criticism should focus on decision quality and alternatives, not on personal character judgments. Debate is most useful when it compares evidence and ends in concrete next steps. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup.",Debater,Debater,True,False,80-95,73.0,0.2907,0.0,0.3333,0.3,0.0001,-0.0,0.367,1,83,14.5
63,"This framing allows rigorous criticism without slipping into unfair blame language. There are two credible readings of this defeat, and both deserve serious examination. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. The stronger argument combines accountability with continuity, because both stability and adaptation matter. If discussion stays balanced, the team can improve without losing internal confidence. This framing allows rigorous criticism without slipping into unfair blame language.",Debater,Debater,True,False,80-95,82.6,0.65,0.75,0.3333,0.3,0.0002,-0.0,0.4491,1,75,4.9
64,"The stronger argument combines accountability with continuity, because both stability and adaptation matter. Debate is most useful when it compares evidence and ends in concrete next steps. That synthesis respects legitimate concerns while keeping the solution actionable. Some fans want immediate selection changes, but others warn that panic selection can break role balance. Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. One side argues the captain reacted too late, while another side says execution let him down first.",Debater,Debater,True,False,80-95,80.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.3248,1,85,7.5
65,"The stronger argument combines accountability with continuity, because both stability and adaptation matter. This framing allows rigorous criticism without slipping into unfair blame language. If discussion stays balanced, the team can improve without losing internal confidence. There are two credible readings of this defeat, and both deserve serious examination. The stronger argument combines accountability with continuity, because both stability and adaptation matter. It is fair to question tactical calls, yet unfair to ignore the pressure context players were handling.",Debater,Debater,True,False,80-95,82.6,0.65,0.75,0.3333,0.3,0.0001,-0.0,0.4329,1,79,4.9
