text,stance_label,confidence,expected_score_band,expected_toxicity_band,expected_supportive_strength_band
"I thought 

2024 Best Final I have seen RCB won 

2025 Easily surpassed 2024 Final.

2026 Mother of All Finals will be very difficult to beat this 203 run chase🙏🙏",NEUTRAL_ANALYSIS,0.3212,"[40.22, 52.22]","[0.0, 0.0813]","[0.0, 0.15]"
Salt gives Nepal debutant  wicket on his first ball https://t.co/APdEHhtmNs,NEUTRAL_ANALYSIS,0.3218,"[36.45, 48.45]","[0.0, 0.0806]","[0.0, 0.15]"
"Coaches need to show these guys WPL 2026 Final match highlights, how to chase a 200+ score, calculating run rate, taking risks when needed. Look how England batters batted mindlessly even after scoring the required runs for that over. I know Bumrah factor but still.",NEUTRAL_ANALYSIS,0.3772,"[40.17, 52.17]","[0.0, 0.0802]","[0.0, 0.15]"
"Clear gap between bat and ball…

You can see why Hettie and Sammy were surprised.

Hetmyer was not out.

#INDvsWI #T20WorldCup2026 https://t.co/VCxtJubAYq",NEUTRAL_ANALYSIS,0.38,"[30.3, 42.3]","[0.0, 0.0808]","[0.0, 0.15]"
"Abhishek  out of form, no confidence, added to this pressure + pitch not flat, throwing wickets like it's nothing.",NEUTRAL_ANALYSIS,0.3951,"[31.79, 43.79]","[0.0, 0.0804]","[0.0, 0.15]"
Don't think India would mind batting first... Batters do better batting first.,CONSTRUCTIVE_CRITICISM,0.4156,"[35.82, 47.82]","[0.0, 0.0804]","[0.0, 0.15]"
"The eyes of cricket fans around the world are on the Pallekele stadium today to watch #ZIMvIRE in #T20WorldCup 

Zimbabwe population is 17.4million but today they have another 500 million cricket fans cheering them on.

Sikandar Raza can etch his own and his teams name into history today.",NEUTRAL_ANALYSIS,0.3093,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
Eng 185/5 after 15 overs. 2 runs ahead. Expecting bumrah’s overs to help india defend this. India expected to win by a margin between 6 to 11 runs.,CONSTRUCTIVE_CRITICISM,0.363,"[38.06, 50.06]","[0.0, 0.0804]","[0.0, 0.15]"
"Two absolute damning parts of this interview that shed light on the England coaching and management regime:

He was told he ""cares too much"" when asking coaches for advice

When Livingstone asked about the lack of communication over the summer, he claims that Key told him he had ""100 more important things to do than speak to you""

I dont often post without having anything to say… but I have no actual words on this.",NEUTRAL_ANALYSIS,0.3064,"[36.16, 48.16]","[0.0, 0.0802]","[0.0, 0.15]"
The luck Pakistan has in tournaments when they're depending on other teams for qualification is too high...,MIXED_STANCE,0.0654,"[36.03, 48.03]","[0.0, 0.0802]","[0.0, 0.15]"
"Sorry what? Your handle is reasonable guy? Calling someone who you don’t know racist based on an observation?

Yar, uss rat tere baap ko chupchap so jana chahie tha",NEUTRAL_ANALYSIS,0.3097,"[31.58, 43.58]","[0.0, 0.1402]","[0.0, 0.15]"
"Oh wait, this is Finn Allen's homeground this IPL 💀",NEUTRAL_ANALYSIS,0.3205,"[32.67, 44.67]","[0.0, 0.0804]","[0.0, 0.15]"
"Volume of runs may be low, but Ayush Mhatre looks in fine touch.
Intent monster, another confident start, and batting like he has been fine form all along.

Quality talent, no doubt. 👌#under19worldcup https://t.co/JfNyLdvn2G",NEUTRAL_ANALYSIS,0.2868,"[32.79, 44.79]","[0.0, 0.0805]","[0.0, 0.15]"
"To all those that celebrate, I wish you and your family a blessed and joyful Eid al-Fitr. Eid Mubarak! 🌙 https://t.co/wJuDIe7l7f",NEUTRAL_ANALYSIS,0.349,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
"This is a must for all fans wanting to work out the permutations in #T20WorldCup group 1.

Simulate the results and see what happens",NEUTRAL_ANALYSIS,0.3336,"[38.82, 50.82]","[0.0, 0.0802]","[0.0, 0.15]"
What a massive blow this... Few CSK fans other day were laughing at Hazlewood missing the first 2 games....,NEUTRAL_ANALYSIS,0.3092,"[38.04, 50.04]","[0.0, 0.1361]","[0.0, 0.15]"
"Awesome thinking,  but if you don’t start your 20 th over before the stipulated time, you will be entitled to play aggressive cricket with 5 fielders inside the circle for the rest of your fielding innings.🤓🤓",CONSTRUCTIVE_CRITICISM,0.3916,"[36.43, 48.43]","[0.0, 0.0803]","[0.0, 0.15]"
I really play for the next Indian captain who will captain India T20 after Bumrah retires. That brother from Rolls Royce will be getting a Nano to work with.,MIXED_STANCE,0.0753,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"1 Phil Salt 
2 Ben Duckett 
3 Will Jacks 
4 Jacob Bethell 
5 Harry Brook
6 Jos Buttler
7 Sam Curran 
8 Jamie Overton 
9 Liam Dawson 
10 Jofra Archer 
11 Adil Rashid 

This combination in my opinion will look good for England.",NEUTRAL_ANALYSIS,0.2915,"[32.26, 44.26]","[0.0, 0.0804]","[0.0, 0.15]"
"Time for this GIF to come out again.

This team needs a true finisher. Not a square peg (Will Jacks) in a round hole.

Sadly there isnt even anyone in the wider squad who could come in and play this role.

Team construction is an under rated part of cricket 
#T20WorldCup2026 #ENGvsWI",NEUTRAL_ANALYSIS,0.3072,"[39.07, 51.07]","[0.0, 0.081]","[0.0, 0.15]"
"Huge congratulations to India for winning back to back #T20WorldCup2026final 

So nice you had to do it twice 😎

Its a nation that has such a passionate fan base, I’m sure it will mean so much to each and every fan",NEUTRAL_ANALYSIS,0.3223,"[36.13, 48.13]","[0.0, 0.0802]","[0.0, 0.15]"
"Every IPL team’s biggest match-winner! 🤩🏆🔥

Stat©: Shebas_10dulkar https://t.co/dAZzx6J9uU",NEUTRAL_ANALYSIS,0.3263,"[69.0, 81.0]","[0.0, 0.0805]","[0.0, 0.15]"
"📰 IPL 2026

Spencer Johnson 🇦🇺 is reportedly not expected to be fit for the first 2–3 weeks of the IPL, should CSK sign him. His rehab is anticipated to take another 2–3 weeks before he is cleared by Cricket Australia.

#IPL2026 https://t.co/ovQD0CFKfx",NEUTRAL_ANALYSIS,0.3019,"[30.82, 42.82]","[0.0, 0.1179]","[0.0, 0.15]"
"Kallis
Steyn
Abraham Benjamin deVilliers
Pollock",NEUTRAL_ANALYSIS,0.314,"[21.87, 33.87]","[0.0, 0.0804]","[0.0, 0.15]"
256 target for NZl on a very good pitch nothing on offer for the bowlers. Any chase more than 220 is always tough. NZL needs to be 84/1 after power play to stay ahead of this chase.,CONSTRUCTIVE_CRITICISM,0.3537,"[36.82, 48.82]","[0.0, 0.0802]","[0.0, 0.15]"
I have never seen 175 run opening partnership in pallekele in my life in T20 cricket.,MIXED_STANCE,0.0602,"[41.53, 53.53]","[0.0, 0.0803]","[0.0, 0.15]"
"Will do a review with Ashwin after the match. If you want songs , please reply with #SingPdogg",NEUTRAL_ANALYSIS,0.3207,"[49.17, 61.17]","[0.0, 0.0819]","[0.0, 0.15]"
"The WPL has started with a bang, a last ball finish, 200 plus score which was closely contested by UPW and a thumping comeback win for MI.

There have been some wonderful young talents on display so far, Nadine De Klerk living upto the promise she showed in WC, Chinelle Henry with the bat, Sajeevan Sajana with the bat in the 1st game for MI. 

Despite all these top performances, my pick of the week till now has to Phoebe Litchfield.

This girl is going to be some player 🔥

Who were the players that have impressed you so far? #WPL26",NEUTRAL_ANALYSIS,0.3371,"[36.27, 48.27]","[0.0, 0.0807]","[0.0, 0.15]"
"After RCB juju, we need to have a conversation about Nehra and  GT ultra juju . Holder has been hitting well , but after the auction, he became monster with the bat.",NEUTRAL_ANALYSIS,0.3105,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
NZ team in white ball cricket until there are small teams in the tournament they will make it to the knockouts but NZ team in white ball cricket will never win anything until there are big teams in the tournament.,MIXED_STANCE,0.095,"[36.83, 48.83]","[0.0, 0.0802]","[0.0, 0.15]"
"These Pakistan vs India matches can't hack Hotstar views of RCB league marches, they call it the greatest rivalry. https://t.co/M7jbvJg8yR",NEUTRAL_ANALYSIS,0.2986,"[29.09, 41.09]","[0.0, 0.0802]","[0.0, 0.15]"
"Clinical win for Pakistan. They have to find a way to play Abrar Ahmed. If their batting clicks , they won’t be any easy to beat.",CONSTRUCTIVE_CRITICISM,0.3598,"[47.27, 59.27]","[0.0, 0.0802]","[0.0, 0.15]"
At least now England at least now. Semi finals won’t be any easy with your top order failing time and again.,NEUTRAL_ANALYSIS,0.3154,"[33.47, 45.47]","[0.0, 0.0808]","[0.0, 0.15]"
Power play done india expected to end up with a total between 228 to 236 on a pitch which looks excellent to bat. Only answer Nzl have now is their captain Santner.,CONSTRUCTIVE_CRITICISM,0.3529,"[35.08, 47.08]","[0.0, 0.0804]","[0.0, 0.15]"
What a hundred... Exceptional from Harry Brook. I think he has sealed that No.3 spot in T20Is going forward.,MIXED_STANCE,0.0632,"[69.0, 81.0]","[0.0, 0.0811]","[0.0, 0.15]"
"Salt we have been starving this T20 World Cup, it's time to Cook and show who you are boy",NEUTRAL_ANALYSIS,0.3199,"[34.98, 46.98]","[0.0426, 0.2026]","[0.0, 0.15]"
"A tournament that’s been running for almost a 100 years and produced close to 350 Test cricketers cannot be smaller than players🙏

My friends you are referring to will also agree with what i am saying. https://t.co/cmCQVsAWEP",NEUTRAL_ANALYSIS,0.3203,"[29.3, 41.3]","[0.0, 0.1364]","[0.0, 0.15]"
"The Italian national anthem is THE best anthem in the world - fact!
#T20WorldCup #ITAvENG #ENGvITA",NEUTRAL_ANALYSIS,0.3361,"[33.79, 45.79]","[0.0, 0.0802]","[0.0, 0.15]"
"Usually before #IPL2026 starts I would just create a stats based thread on each other the teams.
However this year I’m trying something a little different and have created a subjective view of each team, their playing 11, depth in back up positions, strengths, weaknesses and which teams they have positive and negative match ups against",CONSTRUCTIVE_CRITICISM,0.3197,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"Bro Surya Kumar Yadav never beating allegations of playing big matches in ICC tournaments, today was the chance, may be it will be the last chance. Duck out 😭😭😭😭",CONSTRUCTIVE_CRITICISM,0.3463,"[32.11, 44.11]","[0.0, 0.0881]","[0.0, 0.15]"
"Jitesh Sharma said, “You won’t believe it, but I always pray to God: let my top order collapse. I see an opportunity to become a hero. I always visualise such innings in my life, and I’m the kind of person who always wants to do something magical.” https://t.co/0dq6CHZiVU",BALANCED_DEBATE,0.3069,"[69.0, 81.0]","[0.0, 0.0806]","[0.0, 0.15]"
"When Hazlewood pulled out, this Australian team finished 50% and the rest, McDonald and Vettori with their tactics, finished Australia. Changing the batting order after the first and third matches is a joke shows coaches are clueless.",NEUTRAL_ANALYSIS,0.3449,"[34.0, 46.0]","[0.0, 0.0804]","[0.0, 0.15]"
"Indian openers announce their new car brand partnership

#T20WorldCup #INDvSA https://t.co/lQeS8SzYwb",NEUTRAL_ANALYSIS,0.3238,"[29.1, 41.1]","[0.0, 0.0802]","[0.0, 0.15]"
@ashwinravi99 @Uz_Khawaja And congratulations to @beastieboy07  for the correct nail prediction!! Adutha octopus avara? 🤔🤣,NEUTRAL_ANALYSIS,0.32,"[29.98, 41.98]","[0.0, 0.081]","[0.0, 0.15]"
"For many thinking this is a batting paradise , wait when Indian spinners bowl in the second innings.",CONSTRUCTIVE_CRITICISM,0.3878,"[35.94, 47.94]","[0.0, 0.0802]","[0.0, 0.15]"
"Imagine NZ winning the World Cup, after everyone thought they were gone for good from this World Cup when Pak were 170/0 in 15 overs vs SL 🤣🤣🤣",NEUTRAL_ANALYSIS,0.4444,"[37.4, 49.4]","[0.0, 0.0804]","[0.0, 0.15]"
Bethell was playing well at 5 in T20 and McCullum made him play at 3 and he is unable to score big.,MIXED_STANCE,0.0637,"[31.83, 43.83]","[0.0332, 0.1932]","[0.0, 0.15]"
IPL 2026 is officially here 🥶 https://t.co/Q7O7AKYSqo,NEUTRAL_ANALYSIS,0.3317,"[29.66, 41.66]","[0.0, 0.0806]","[0.0, 0.15]"
England got an explosive batting line up and they bat deep with jacks at 7 and Overton at 8. Unfortunately their top order is not getting starts and it’s been a catch up game so far in the World Cup. Jacks at the top of the order might change their fortunes moving forward.,CONSTRUCTIVE_CRITICISM,0.3663,"[38.57, 50.57]","[0.0, 0.0803]","[0.0, 0.15]"
From dreaming about winning the match by 63 runs to almost losing the match itself. This is peak Pakistan heritage 🫡,NEUTRAL_ANALYSIS,0.3189,"[36.13, 48.13]","[0.0, 0.0802]","[0.0, 0.15]"
"Before the news that Cummins will miss the start of the IPL, their bowling looked mid at best.

Take Cummins out and they will concede as many as their batters can score.",CONSTRUCTIVE_CRITICISM,0.3604,"[34.91, 46.91]","[0.0, 0.0964]","[0.0, 0.15]"
"Thambi @ashwinravi99 
Adipoli ❌❌❌❌❌❌❌
Adi nejam ✔️ ✔️ ✔️ ✔️ ✔️ 
Sanju Samson
Kolkata le chettan vandallo 
#Manifestation",NEUTRAL_ANALYSIS,0.3348,"[25.08, 37.08]","[0.0, 0.0834]","[0.0, 0.15]"
"How on earth does someone make the sad death of Rinku’s father about Virat?

I am a huge Virat fan but this is absolutely disgusting https://t.co/7cUO63TfHg",NEUTRAL_ANALYSIS,0.3091,"[32.6, 44.6]","[0.0, 0.1363]","[0.0, 0.15]"
"🚨BREAKING🚨

⚡️RCB to play 5 home games at Chinnaswamy stadium

⚡️Remaining 2 home games to be played in Raipur

#IPL2026",NEUTRAL_ANALYSIS,0.3121,"[33.36, 45.36]","[0.0, 0.0806]","[0.0, 0.15]"
Ji yes. According to ICC rules Indian bowlers cannot bowl to their own batters. They only have to bowl to ZIM batters 🙏,CONSTRUCTIVE_CRITICISM,0.3507,"[32.87, 44.87]","[0.0, 0.0803]","[0.0, 0.15]"
"Finish the Valentine's Day poem but according to England Cricket:

Roses are red, Violets are blue.

_________________",NEUTRAL_ANALYSIS,0.3179,"[33.33, 45.33]","[0.0, 0.0807]","[0.0, 0.15]"
"Abhishek Sharma crapping and unable to touch the ball in WT20, everyday I get reel of Amir analysis on his batting. All that Amir reels getting lakhs of views and people (Indian fans) are accepting and praising his analysis. It is so annoying ffs.",NEUTRAL_ANALYSIS,0.2917,"[69.0, 81.0]","[0.0, 0.1047]","[0.0, 0.15]"
I was seeing reels after Australia lost to Pakistan in the bilateral series. Like Aus will become the next level beast in ICC events. I hope they learn that T20I is a different format compared to ODIs. Australia just bats in T20Is. This time they have good team but injuries screwed them still....,MIXED_STANCE,0.0979,"[69.6, 81.6]","[0.0, 0.0803]","[0.0, 0.15]"
